zip,lat,lng,average summer precipitation (mm/hr),average summer temp (K),temp (C),temp (F)
00971,18.32067,-66.1175,0.1309218653,300.8067342,27.80673421,82.05212158
00976,18.33903,-65.9929,0.1491627445,300.7268275,27.7268275,81.90828951
00979,18.43734,-66.0089,0.1340896996,300.7928571,27.79285707,82.02714273
00982,18.40961,-65.9914,0.1502993343,300.7218485,27.72184851,81.89932733
00983,18.41788,-65.981,0.1536864221,300.7070109,27.7070109,81.87261963
00985,18.40628,-65.9477,0.1536864221,300.7070109,27.7070109,81.87261963
00987,18.34115,-65.9426,0.1536864221,300.7070109,27.7070109,81.87261963
01001,42.06262,-72.6252,0.1399002286,294.6344421,21.63444214,70.94199585
01002,42.37633,-72.4646,0.1453793858,294.7531698,21.75316976,71.15570557
01003,42.39135,-72.5233,0.1481631567,293.9697978,20.96979777,69.74563599
01005,42.42117,-72.1066,0.139335527,294.5544393,21.55443929,70.79799072
01007,42.28163,-72.4001,0.1453793858,294.7531698,21.75316976,71.15570557
01008,42.18234,-72.9582,0.1418741907,293.6489705,20.64897054,69.16814697
01009,42.21133,-72.3419,0.1378586248,295.1059489,22.10594889,71.79070801
01010,42.12904,-72.206,0.1335210917,294.6637227,21.66372274,70.99470093
01011,42.30233,-72.9645,0.1492350799,292.9531514,19.95315145,67.91567261
01012,42.38495,-72.8468,0.1492350799,292.9531514,19.95315145,67.91567261
01013,42.16059,-72.6079,0.1399002286,294.6344421,21.63444214,70.94199585
01020,42.17618,-72.5654,0.1399002286,294.6344421,21.63444214,70.94199585
01022,42.19721,-72.5425,0.1399002286,294.6344421,21.63444214,70.94199585
01026,42.46858,-72.923,0.1492350799,292.9531514,19.95315145,67.91567261
01027,42.29506,-72.743,0.1483761648,293.7677741,20.76777406,69.38199331
01028,42.05967,-72.499,0.1387947836,294.8897438,21.88974376,71.40153877
01029,42.19402,-73.0507,0.1441355546,293.6970337,20.69703369,69.25466064
01030,42.06869,-72.6797,0.1399002286,294.6344421,21.63444214,70.94199585
01031,42.32782,-72.1919,0.139335527,294.5544393,21.55443929,70.79799072
01032,42.45313,-72.8197,0.1492350799,292.9531514,19.95315145,67.91567261
01033,42.26082,-72.5036,0.1466463119,294.2786143,21.27861434,70.3015058
01034,42.0826,-72.9561,0.1418741907,293.6489705,20.64897054,69.16814697
01035,42.35563,-72.5692,0.1481631567,293.9697978,20.96979777,69.74563599
01036,42.0638,-72.4157,0.1378586248,295.1059489,22.10594889,71.79070801
01037,42.37063,-72.1947,0.139335527,294.5544393,21.55443929,70.79799072
01038,42.38466,-72.6056,0.1481631567,293.9697978,20.96979777,69.74563599
01039,42.41049,-72.6919,0.1481631567,293.9697978,20.96979777,69.74563599
01040,42.21251,-72.6411,0.1399002286,294.6344421,21.63444214,70.94199585
