zip,lat,lng,average precip mm/hr,average temp (K),average temp (C),average temp (F)
01084,42.38589,-72.8817,0.1525076727,283.3279037,10.32790375,50.59022675
01085,42.15375,-72.7696,0.1559929863,284.1981182,11.19811821,52.15661278
01088,42.38981,-72.6465,0.1551510145,284.3005066,11.30050659,52.34091187
01089,42.12532,-72.6503,0.1582697829,285.1459026,12.14590263,53.86262474
01092,42.20008,-72.2372,0.1604102927,285.4218931,12.42189314,54.35940765
01093,42.44335,-72.651,0.1551510145,284.3005066,11.30050659,52.34091187
01094,42.36481,-72.1355,0.1611917588,284.8529358,11.85293579,53.33528442
01095,42.12763,-72.4299,0.1591813987,285.6279736,12.62797356,54.7303524
01096,42.40968,-72.7721,0.1525076727,283.3279037,10.32790375,50.59022675
01097,42.17722,-72.8318,0.1559929863,284.1981182,11.19811821,52.15661278
01098,42.39551,-72.9432,0.1525076727,283.3279037,10.32790375,50.59022675
01103,42.10443,-72.59,0.1582697829,285.1459026,12.14590263,53.86262474
01104,42.13326,-72.5673,0.1582697829,285.1459026,12.14590263,53.86262474
01105,42.09911,-72.5787,0.1582697829,285.1459026,12.14590263,53.86262474
01106,42.04877,-72.5716,0.1582697829,285.1459026,12.14590263,53.86262474
01107,42.12116,-72.6064,0.1582697829,285.1459026,12.14590263,53.86262474
01108,42.0814,-72.5587,0.1582697829,285.1459026,12.14590263,53.86262474
01109,42.11839,-72.5488,0.1582697829,285.1459026,12.14590263,53.86262474
01118,42.09476,-72.5253,0.1582697829,285.1459026,12.14590263,53.86262474
01119,42.12452,-72.5113,0.1583199404,285.1724264,12.17242641,53.91036753
01128,42.09497,-72.4881,0.1591439571,285.6081741,12.60817412,54.69471342
01129,42.1211,-72.4877,0.1591499114,285.6113228,12.61132282,54.70038107
01144,42.10189,-72.5909,0.1582697829,285.1459026,12.14590263,53.86262474
01151,42.15294,-72.5088,0.1583966401,285.2129859,12.2129859,53.98337462
01201,42.45614,-73.2811,0.1455745161,284.5407982,11.54079819,52.77343674
01220,42.62686,-73.1187,0.1426723165,283.1778374,10.17783737,50.32010727
01222,42.06242,-73.3215,0.1458928774,284.9123955,11.91239548,53.44231186
01223,42.31118,-73.0984,0.1471246526,283.6890411,10.68904114,51.24027405
01224,42.50622,-73.1984,0.1436965559,283.2954374,10.29543744,50.53178739
01225,42.56385,-73.1512,0.1426723165,283.1778374,10.17783737,50.32010727
01226,42.47954,-73.1533,0.1471246526,283.6890411,10.68904114,51.24027405
01229,42.29411,-73.3523,0.1455745161,284.5407982,11.54079819,52.77343674
01230,42.18197,-73.3424,0.1458928774,284.9123955,11.91239548,53.44231186
01235,42.43181,-73.0734,0.1471246526,283.6890411,10.68904114,51.24027405
01236,42.26923,-73.38,0.1455745161,284.5407982,11.54079819,52.77343674
01237,42.5529,-73.2537,0.1419191022,284.0993571,11.09935712,51.97884282
01238,42.30072,-73.2255,0.1471246526,283.6890411,10.68904114,51.24027405
01240,42.37567,-73.2647,0.1455745161,284.5407982,11.54079819,52.77343674
01242,42.3334,-73.2497,0.1463587653,284.1098749,11.10987494,51.99777489
01243,42.34752,-73.0347,0.1471246526,283.6890411,10.68904114,51.24027405
01244,42.10924,-73.2748,0.1458928774,284.9123955,11.91239548,53.44231186
01245,42.19043,-73.2158,0.1510004878,284.2386055,11.2386055,52.2294899
01247,42.69813,-73.0926,0.1426723165,283.1778374,10.17783737,50.32010727
01253,42.20751,-73.1118,0.1510004878,284.2386055,11.2386055,52.2294899
01254,42.37972,-73.3661,0.1455745161,284.5407982,11.54079819,52.77343674
01255,42.1068,-73.1221,0.1510004878,284.2386055,11.2386055,52.2294899
01256,42.59627,-73.0196,0.1426723165,283.1778374,10.17783737,50.32010727
01257,42.0976,-73.3724,0.1458928774,284.9123955,11.91239548,53.44231186
01258,42.09396,-73.4662,0.1458928774,284.9123955,11.91239548,53.44231186
01259,42.07316,-73.2328,0.1510004878,284.2386055,11.2386055,52.2294899
01260,42.26663,-73.2712,0.1455745161,284.5407982,11.54079819,52.77343674
01262,42.30433,-73.3201,0.1455745161,284.5407982,11.54079819,52.77343674
01264,42.23997,-73.1969,0.1506018771,284.1820855,11.18208548,52.12775387
01266,42.30264,-73.3985,0.1455745161,284.5407982,11.54079819,52.77343674
01267,42.66593,-73.2421,0.1424799311,283.4132113,10.41321126,50.74378027
01270,42.51297,-73.0486,0.1427506871,283.1868356,10.18683564,50.33630416
01301,42.62375,-72.6038,0.1500561501,283.5169296,10.51692963,50.93047333
01330,42.51772,-72.8156,0.1472088759,282.7661304,9.766130447,49.57903481
01331,42.56793,-72.1832,0.1530845962,284.3000259,11.30002594,52.34004669
01337,42.69512,-72.5773,0.1500561501,283.5169296,10.51692963,50.93047333
01338,42.5814,-72.8031,0.1472088759,282.7661304,9.766130447,49.57903481
01339,42.61099,-72.8885,0.1472088759,282.7661304,9.766130447,49.57903481
01340,42.68805,-72.7321,0.1500561501,283.5169296,10.51692963,50.93047333
01341,42.50734,-72.7022,0.1510161256,283.6645714,10.66457138,51.19622849
01342,42.54384,-72.6058,0.1500561501,283.5169296,10.51692963,50.93047333
01343,42.66766,-72.9882,0.1469919166,282.7858202,9.785820184,49.61447633
01344,42.60756,-72.4292,0.1512065366,284.3398056,11.3398056,52.41165009
01346,42.6706,-72.8132,0.1472088759,282.7661304,9.766130447,49.57903481
01347,42.56027,-72.5132,0.1500709231,283.5274968,10.52749684,50.94949431
01349,42.56656,-72.4705,0.1512065366,284.3398056,11.3398056,52.41165009
01350,42.72259,-72.9829,0.1472088759,282.7661304,9.766130447,49.57903481
01351,42.54162,-72.5207,0.1500561501,283.5169296,10.51692963,50.93047333
01354,42.63282,-72.5114,0.1501194449,283.5622047,10.56220466,51.01196838
01355,42.45101,-72.3314,0.1644397398,285.0255318,12.02553177,53.64595718
01360,42.67575,-72.446,0.1512065366,284.3398056,11.3398056,52.41165009
01364,42.60449,-72.2926,0.1512065366,284.3398056,11.3398056,52.41165009
01366,42.48858,-72.1856,0.1607456988,284.8225144,11.82251443,53.28052597
01367,42.69674,-72.9139,0.1472088759,282.7661304,9.766130447,49.57903481
01368,42.67815,-72.1856,0.1530845962,284.3000259,11.30002594,52.34004669
01370,42.59607,-72.7292,0.1500561501,283.5169296,10.51692963,50.93047333
01373,42.47292,-72.6152,0.1551510145,284.3005066,11.30050659,52.34091187
01375,42.46475,-72.5549,0.1551510145,284.3005066,11.30050659,52.34091187
01376,42.59273,-72.5459,0.1500561501,283.5169296,10.51692963,50.93047333
01378,42.67711,-72.3406,0.1512065366,284.3398056,11.3398056,52.41165009
01379,42.54149,-72.3989,0.1512065366,284.3398056,11.3398056,52.41165009
01380,42.58675,-72.4026,0.1512065366,284.3398056,11.3398056,52.41165009
01420,42.58559,-71.8169,0.1478708362,284.1535053,11.15350533,52.07630959
01430,42.66069,-71.9232,0.1478708362,284.1535053,11.15350533,52.07630959
01431,42.67652,-71.8232,0.1478708362,284.1535053,11.15350533,52.07630959
01432,42.56351,-71.5706,0.1486868891,284.8002129,11.80021286,53.24038315
01434,42.53149,-71.6166,0.1486868891,284.8002129,11.80021286,53.24038315
01436,42.60579,-72.0896,0.1530845962,284.3000259,11.30002594,52.34004669
01438,42.56028,-72.0358,0.1530845962,284.3000259,11.30002594,52.34004669
01440,42.58797,-71.9865,0.1479152798,284.1547543,11.15475431,52.07855776
01450,42.61368,-71.5614,0.1486868891,284.8002129,11.80021286,53.24038315
01451,42.50005,-71.5775,0.1500960474,284.9811465,11.98114653,53.56606376
01452,42.48378,-72.0051,0.1585088152,284.8503474,11.85034736,53.33062525
01453,42.51961,-71.7658,0.1478708362,284.1535053,11.15350533,52.07630959
01460,42.53503,-71.4891,0.1499699781,285.3722735,12.37227353,54.27009235
01462,42.58994,-71.7204,0.1486868891,284.8002129,11.80021286,53.24038315
01463,42.67126,-71.6043,0.1486868891,284.8002129,11.80021286,53.24038315
01464,42.57411,-71.6475,0.1486868891,284.8002129,11.80021286,53.24038315
01468,42.55324,-72.0688,0.1530845962,284.3000259,11.30002594,52.34004669
01469,42.66514,-71.6916,0.1486868891,284.8002129,11.80021286,53.24038315
01473,42.55122,-71.9027,0.1478708362,284.1535053,11.15350533,52.07630959
01474,42.67088,-71.7508,0.1482450298,284.4500472,11.45004718,52.61008493
01475,42.66675,-72.049,0.1530845962,284.3000259,11.30002594,52.34004669
01501,42.19689,-71.8455,0.153485997,285.3288651,12.32886505,54.19195709
01503,42.38378,-71.6355,0.1515389902,285.1664181,12.16641808,53.89955254
01504,42.0399,-71.5313,0.1533665088,285.5432644,12.54326439,54.5778759
01505,42.35633,-71.7212,0.1515389902,285.1664181,12.16641808,53.89955254
01506,42.19364,-72.1044,0.160438972,285.4170837,12.41708374,54.35075073
01507,42.13509,-71.968,0.153485997,285.3288651,12.32886505,54.19195709
01510,42.4119,-71.6888,0.1515389902,285.1664181,12.16641808,53.89955254
01515,42.20328,-72.0467,0.160438972,285.4170837,12.41708374,54.35075073
01516,42.0528,-71.7511,0.1534326222,285.4246363,12.42463626,54.36434527
01518,42.11342,-72.1163,0.160438972,285.4170837,12.41708374,54.35075073
01519,42.20077,-71.6789,0.1533665088,285.5432644,12.54326439,54.5778759
01520,42.33685,-71.8518,0.1517654541,284.8438416,11.84384155,53.31891479
01521,42.06012,-72.1659,0.160438972,285.4170837,12.41708374,54.35075073
01522,42.38142,-71.8711,0.1517654541,284.8438416,11.84384155,53.31891479
01523,42.48176,-71.6808,0.1515389902,285.1664181,12.16641808,53.89955254
01524,42.24919,-71.9199,0.1526766771,285.1007166,12.10071661,53.7812899
01525,42.09899,-71.643,0.1533665088,285.5432644,12.54326439,54.5778759
01527,42.19228,-71.774,0.153485997,285.3288651,12.32886505,54.19195709
01529,42.03906,-71.5777,0.1533665088,285.5432644,12.54326439,54.5778759
01531,42.31929,-72.1279,0.1611917588,284.8529358,11.85293579,53.33528442
01532,42.32314,-71.6462,0.1515389902,285.1664181,12.16641808,53.89955254
01534,42.13991,-71.6443,0.1533665088,285.5432644,12.54326439,54.5778759
01535,42.2695,-72.0779,0.1611917588,284.8529358,11.85293579,53.33528442
01536,42.23189,-71.6922,0.1533665088,285.5432644,12.54326439,54.5778759
01537,42.16177,-71.8922,0.153485997,285.3288651,12.32886505,54.19195709
01540,42.11649,-71.8582,0.153485997,285.3288651,12.32886505,54.19195709
01541,42.45649,-71.8813,0.1517654541,284.8438416,11.84384155,53.31891479
01542,42.20241,-71.91,0.153485997,285.3288651,12.32886505,54.19195709
01543,42.38482,-71.9673,0.1517654541,284.8438416,11.84384155,53.31891479
01545,42.28419,-71.7156,0.1515389902,285.1664181,12.16641808,53.89955254
01550,42.06039,-72.0338,0.160438972,285.4170837,12.41708374,54.35075073
01560,42.17496,-71.6776,0.1533665088,285.5432644,12.54326439,54.5778759
01561,42.44581,-71.6885,0.1515389902,285.1664181,12.16641808,53.89955254
01562,42.24715,-71.9919,0.1540707781,285.1562704,12.15627044,53.88128679
01564,42.44124,-71.773,0.1517654541,284.8438416,11.84384155,53.31891479
01566,42.1047,-72.0775,0.160438972,285.4170837,12.41708374,54.35075073
01568,42.17694,-71.6052,0.1533665088,285.5432644,12.54326439,54.5778759
01569,42.05895,-71.6374,0.1533665088,285.5432644,12.54326439,54.5778759
01570,42.05206,-71.8485,0.153485997,285.3288651,12.32886505,54.19195709
01571,42.05501,-71.9352,0.153485997,285.3288651,12.32886505,54.19195709
01581,42.26815,-71.614,0.1515389902,285.1664181,12.16641808,53.89955254
01583,42.37034,-71.785,0.1517654541,284.8438416,11.84384155,53.31891479
01585,42.23762,-72.1631,0.1604649732,285.3975981,12.39759806,54.31567651
01588,42.11837,-71.6684,0.1533665088,285.5432644,12.54326439,54.5778759
01590,42.13387,-71.7518,0.153435453,285.4195569,12.41955694,54.3552025
01602,42.27219,-71.8495,0.1517654541,284.8438416,11.84384155,53.31891479
01603,42.24373,-71.8443,0.1530717182,285.2120793,12.21207925,53.98174266
01604,42.25085,-71.7683,0.1525543934,285.0662447,12.06624467,53.7192404
01605,42.28979,-71.788,0.1517654541,284.8438416,11.84384155,53.31891479
01606,42.31367,-71.7961,0.1517654541,284.8438416,11.84384155,53.31891479
01607,42.22684,-71.7904,0.153485997,285.3288651,12.32886505,54.19195709
01608,42.2621,-71.8015,0.1518248817,284.8605943,11.86059427,53.34906969
01609,42.28592,-71.8285,0.1517654541,284.8438416,11.84384155,53.31891479
01610,42.24645,-71.8097,0.1528789594,285.1577403,12.1577403,53.88393254
01611,42.23945,-71.877,0.1533379995,285.2871443,12.28714433,54.1168598
01612,42.31037,-71.931,0.1517654541,284.8438416,11.84384155,53.31891479
01701,42.32195,-71.438,0.1517207834,285.8147469,12.81474686,55.06654434
01702,42.28242,-71.4343,0.1517207834,285.8147469,12.81474686,55.06654434
01718,42.52165,-71.4298,0.150066668,285.4153824,12.41538239,54.34768829
01719,42.48837,-71.5178,0.1514025895,285.1489044,12.14890444,53.868028
01720,42.48397,-71.4381,0.1517207834,285.8147469,12.81474686,55.06654434
01721,42.25726,-71.4687,0.1520471918,285.859673,12.85967298,55.14741136
